"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.bps.bo","src/com/bps/bo/AdminLoginBO.java","3","12","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"2","com.bps.bo","src/com/bps/bo/AdminLoginBO.java","3","12","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"3","com.bps.bo","src/com/bps/bo/AdminLoginBO.java","3","15","Avoid variables with short names like p","Naming Rules","ShortVariable"
"4","com.bps.bo","src/com/bps/bo/AdminLoginBO.java","3","15","Avoid variables with short names like u","Naming Rules","ShortVariable"
"5","com.bps.bo","src/com/bps/bo/AdminLoginBO.java","3","15","Parameter 'p' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"6","com.bps.bo","src/com/bps/bo/AdminLoginBO.java","3","15","Parameter 'u' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"7","com.bps.bo","src/com/bps/bo/AdminLoginBO.java","3","18","Avoid variables with short names like al","Naming Rules","ShortVariable"
"8","com.bps.bo","src/com/bps/bo/AdminLoginBO.java","5","18","Found 'DD'-anomaly for variable 'al' (lines '18'-'19').","Controversial Rules","DataflowAnomalyAnalysis"
"9","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","4","3","Avoid unused imports such as 'java.sql.Connection'","Import Statement Rules","UnusedImports"
"10","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","4","3","Avoid unused imports such as 'java.sql.Connection'","Import Statement Rules","UnusedImports"
"11","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","4","4","Avoid unused imports such as 'java.sql.PreparedStatement'","Import Statement Rules","UnusedImports"
"12","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","4","4","Avoid unused imports such as 'java.sql.PreparedStatement'","Import Statement Rules","UnusedImports"
"13","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","4","6","Avoid unused imports such as 'java.util.ArrayList'","Import Statement Rules","UnusedImports"
"14","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","4","6","Avoid unused imports such as 'java.util.ArrayList'","Import Statement Rules","UnusedImports"
"15","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","4","7","Avoid unused imports such as 'java.util.Collection'","Import Statement Rules","UnusedImports"
"16","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","4","7","Avoid unused imports such as 'java.util.Collection'","Import Statement Rules","UnusedImports"
"17","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","4","8","Avoid unused imports such as 'java.util.Iterator'","Import Statement Rules","UnusedImports"
"18","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","4","8","Avoid unused imports such as 'java.util.Iterator'","Import Statement Rules","UnusedImports"
"19","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"20","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","3","23","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"21","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","3","25","Parameter 'cid' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","3","28","Local variable 'result' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"23","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","3","39","Parameter 'amount' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"24","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","3","39","Parameter 'pending' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"25","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","5","42","Found 'DD'-anomaly for variable 'flag' (lines '42'-'51').","Controversial Rules","DataflowAnomalyAnalysis"
"26","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","5","42","Found 'DU'-anomaly for variable 'flag' (lines '42'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"27","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","3","44","Local variable 'amountToPay' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"28","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","3","45","Local variable 'pendingAmount' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"29","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","3","65","Parameter 'cardNumber' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"30","com.bps.bo","src/com/bps/bo/BillPaymentBO.java","3","66","Parameter 'cid' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"31","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","4","7","Avoid importing anything from the 'sun.*' packages","Controversial Rules","DontImportSun"
"32","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","4","7","Avoid unused imports such as 'sun.util.locale.StringTokenIterator'","Import Statement Rules","UnusedImports"
"33","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","4","7","Avoid unused imports such as 'sun.util.locale.StringTokenIterator'","Import Statement Rules","UnusedImports"
"34","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","19","The class 'CustomerRegistrationBO' has a Cyclomatic Complexity of 5 (Highest = 23).","Code Size Rules","CyclomaticComplexity"
"35","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"36","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","21","Private field 'errorList' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"37","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"38","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","25","Avoid excessively long variable names like customerRegistrationDao","Naming Rules","LongVariable"
"39","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","25","Local variable 'customerRegistrationDao' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"40","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","2","26","System.out.print is used","Java Logging Rules","SystemPrintln"
"41","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","30","Parameter 'countryName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"42","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","32","Avoid excessively long variable names like customerRegistrationDao","Naming Rules","LongVariable"
"43","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","32","Local variable 'customerRegistrationDao' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"44","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","37","Avoid excessively long variable names like customerRegistrationDao","Naming Rules","LongVariable"
"45","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","37","Local variable 'customerRegistrationDao' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"46","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","2","38","System.out.print is used","Java Logging Rules","SystemPrintln"
"47","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","41","Avoid excessively long variable names like identificationDocumentName","Naming Rules","LongVariable"
"48","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","41","Parameter 'identificationDocumentName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"49","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","43","Avoid excessively long variable names like customerRegistrationDao","Naming Rules","LongVariable"
"50","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","43","Local variable 'customerRegistrationDao' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"51","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","2","44","System.out.print is used","Java Logging Rules","SystemPrintln"
"52","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","51","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"53","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","51","Parameter 'customerRegistrationTo' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"54","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","51","The method 'validateCustomer' has a Cyclomatic Complexity of 23.","Code Size Rules","CyclomaticComplexity"
"55","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","51","The method validateCustomer() has an NPath complexity of 138240","Code Size Rules","NPathComplexity"
"56","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","53","Local variable 'customerName' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"57","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","147","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"58","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","164","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"59","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","177","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"60","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","190","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
